f, RPR, RBV, F_last, Recl_last
109583,0.842656,0.866003,0.110803,256003
109583,0.842656,0.866003,0.110803,256003
109583,0.842656,0.866003,0.110803,256003
109581,0.842656,0.865998,0.110803,256001
109561,0.842654,0.865949,0.110804,255988
109361,0.842642,0.865459,0.110814,255849
107380,0.842515,0.86058,0.110916,254466
89244.2,0.841205,0.813349,0.111937,241039
58616.1,0.818736,0.724916,0.140389,161453
37914.5,0.78357,1.0317,0.237228,111386
30026.1,0.795152,0.932899,0.204181,123965
121777,0.780559,0.981637,0.336531,138772
23870.4,0.793289,0.940348,0.226127,126855
21507.9,0.789065,0.883619,0.256031,155594
19477.5,0.786319,0.827708,0.266575,203168
21051.6,0.785433,0.747392,0.264744,268634
18727.9,0.786072,0.796787,0.265902,225090
17927.2,0.783123,0.76978,0.255835,245818
16967.6,0.781634,0.76695,0.240015,260744
16366.4,0.788796,0.728766,0.221697,263238
15402.1,0.790774,0.745406,0.214238,263637
14788.1,0.803163,0.814097,0.203376,288018
14164.6,0.818606,0.818918,0.190827,302679
13480.1,0.827413,0.888267,0.1725,315230
12553.1,0.834129,0.939511,0.145547,336024
12117.2,0.855654,1.08502,0.12032,402515
11643.2,0.871468,1.26336,0.112039,449015
11521.2,0.872414,1.28413,0.0980037,437525
11365.8,0.874975,1.28572,0.094709,431506
11155.8,0.881806,1.4205,0.09258,448521
10840.6,0.887139,1.50159,0.0880684,461793
10398.9,0.898255,1.69632,0.0801399,438685
10417.7,0.911616,2.00798,0.0694683,384075
10142,0.905652,1.85443,0.0742583,408686
9934.37,0.914338,2.03467,0.0692311,368057
9626.02,0.91935,2.20053,0.065164,332081
9323.17,0.932837,2.60795,0.0627351,290991
9010.5,0.937756,2.90455,0.060612,255300
8615.08,0.940998,3.14965,0.0588237,240772
8187.62,0.9427,3.34634,0.0548986,238718
7662.42,0.945997,3.51047,0.0502623,266844
8064.56,0.948337,3.86832,0.0447806,283397
7469.55,0.94694,3.63438,0.0481772,272796
7510.12,0.948793,3.59852,0.0483153,281291
7380.98,0.947822,3.61359,0.0482402,276643
7277.96,0.948969,3.66143,0.0486383,282740
7260.18,0.949427,3.72472,0.0487134,299929
7231.41,0.949196,3.71015,0.048673,309587
7198.96,0.949728,3.69964,0.0481247,328939
7158.56,0.950677,3.79828,0.0472264,326343
7118.36,0.952444,3.96603,0.0452535,311364
7075.49,0.954988,4.20653,0.0430284,274052
7035.78,0.95711,4.41186,0.0413092,249469
6982.16,0.958172,4.4986,0.0406661,243902
6932.31,0.958583,4.61083,0.0404393,244725
6868.28,0.958507,4.63082,0.0404569,252640
6819.95,0.957591,4.46052,0.0411351,288490
6828.61,0.957398,4.3608,0.0404972,327318
6797.72,0.95751,4.41413,0.0408431,305576
6782.69,0.958326,4.48478,0.0397018,300093
6785.33,0.959625,4.69391,0.0391053,274084
6776.11,0.958936,4.58051,0.0394221,287658
6771.46,0.959574,4.65889,0.0389935,281972
6772.82,0.959329,4.63037,0.0388171,301941
6769.22,0.959469,4.64647,0.0389172,290434
6767.11,0.959541,4.66363,0.0385609,297074
6764.92,0.959685,4.6888,0.0382402,302877
6763.19,0.959935,4.73231,0.0380098,307248
6761.25,0.959901,4.73092,0.0378756,312535
6759.89,0.959729,4.71682,0.0379375,318011
6759.49,0.959535,4.7055,0.0380427,318019
6758.88,0.959485,4.70334,0.0381773,316325
6757.78,0.959394,4.69142,0.0382956,314412
6756.31,0.959299,4.68074,0.0384189,310604
6754.98,0.959253,4.67451,0.0384767,306739
6754.73,0.959241,4.67236,0.0386575,301282
6753.43,0.959115,4.64704,0.0387218,306840
6751.76,0.95917,4.65509,0.0386396,308381
6752.19,0.95914,4.65067,0.0386846,307535
6752.08,0.959184,4.65461,0.0385737,308141
6751.55,0.959345,4.67558,0.0386034,302963
6751.37,0.959353,4.67671,0.038595,302517
6751.01,0.95934,4.67506,0.0386278,301688
6749.3,0.959205,4.6592,0.0389542,293592
6745.53,0.959103,4.64658,0.0391288,292294
6738.28,0.959416,4.68471,0.0387411,296515
6701.25,0.962429,5.08953,0.035084,342215
6701.27,0.960715,4.89144,0.0370594,277064
6677,0.961551,4.98066,0.0361102,306184
6632.8,0.961427,4.95948,0.0359111,330785
6549.85,0.959574,4.708,0.0378895,314809
6393.24,0.958318,4.5547,0.0389601,298727
6117.55,0.958131,4.48243,0.0384909,352412
41476.5,0.984401,14.9602,0.0120581,937365
6375.31,0.974384,7.97048,0.0217062,560425
6032.69,0.968071,6.13068,0.0280974,453214
8521.6,0.9869,20.5817,0.00903249,1.74287e+06
6032.91,0.972179,7.24979,0.0237523,545181
6026.81,0.970224,6.67045,0.025811,497340
6015.07,0.970149,6.65047,0.0258722,497393
5901.14,0.969393,6.45374,0.0264924,497922
5136.87,0.96047,4.76646,0.0336878,502494
4981.49,0.958022,4.39426,0.0320551,1.2865e+06
4779.93,0.959264,4.46679,0.0314595,1.11934e+06
9293.28,0.959243,4.44865,0.030884,1.0324e+06
4932.69,0.959266,4.46621,0.0314444,1.11699e+06
4779.77,0.959264,4.46677,0.031459,1.11926e+06
4779.43,0.959263,4.46664,0.0314588,1.1193e+06
4776.14,0.959252,4.46533,0.0314565,1.11972e+06
4744.39,0.959144,4.45232,0.0314337,1.12385e+06
4587.94,0.958023,4.3242,0.0312071,1.16585e+06
4507.81,0.956307,4.10801,0.031587,1.35417e+06
6041.13,0.953428,3.79924,0.0323607,1.61963e+06
4505.84,0.956265,4.10303,0.0315988,1.35794e+06
4501.92,0.956136,4.08829,0.0316568,1.36036e+06
4466.47,0.954818,3.94357,0.0322424,1.38482e+06
4397.88,0.951313,3.60384,0.0337887,1.44418e+06
4366.06,0.94245,2.97246,0.037168,1.71443e+06
4344.93,0.945707,3.17686,0.0359658,1.61657e+06
4272.78,0.940876,2.85749,0.0372465,1.77214e+06
4229.86,0.933883,2.4945,0.0389202,1.65092e+06
4169.98,0.935131,2.52292,0.03744,1.86866e+06
4133.46,0.933384,2.42199,0.0369275,2.22001e+06
4087.7,0.931525,2.34757,0.0377069,2.08444e+06
4051.53,0.932068,2.35278,0.0368112,2.26083e+06
4020.57,0.930447,2.27826,0.037118,2.13947e+06
3995.24,0.927833,2.17876,0.0381332,1.97185e+06
3962.19,0.922898,2.02219,0.0398605,1.9847e+06
3942.05,0.919891,1.93937,0.0412086,1.91134e+06
3916.46,0.918165,1.88578,0.0414839,1.98867e+06
3891.38,0.917196,1.85043,0.0410202,2.16275e+06
3871,0.915325,1.79531,0.0408452,2.31816e+06
3840.21,0.915105,1.78419,0.0406348,2.33018e+06
3804.34,0.916584,1.80695,0.0386615,2.40288e+06
3770.15,0.911401,1.68669,0.0401371,2.31042e+06
3736.1,0.905549,1.57545,0.041479,2.27749e+06
3712.96,0.903263,1.53075,0.0411672,2.40864e+06
3695.49,0.895092,1.39736,0.0434218,2.35279e+06
3677.28,0.892628,1.36307,0.0439615,2.32085e+06
3654.22,0.886504,1.27753,0.0454306,2.25437e+06
3634.57,0.877161,1.16794,0.0481594,2.159e+06
3623.97,0.864788,1.04234,0.05142,2.03049e+06
3611.13,0.860241,1.00579,0.0528324,1.98019e+06
3603.14,0.856863,0.979491,0.054013,1.94901e+06
3596.62,0.851031,0.932755,0.0553571,1.94954e+06
3590.04,0.839345,0.847536,0.0598294,1.835e+06
3582.78,0.828348,0.779485,0.0637233,1.72321e+06
3572.97,0.813501,0.700826,0.0692569,1.58668e+06
3567.44,0.780166,0.560097,0.0820899,1.36968e+06
3560.92,0.781774,0.566474,0.081376,1.37998e+06
3553.38,0.781927,0.567377,0.0809417,1.39721e+06
3544.75,0.771133,0.53151,0.0843424,1.35853e+06
3530.85,0.749493,0.46874,0.0914895,1.28209e+06
3539.75,0.730107,0.420352,0.0961856,1.25285e+06
3523.41,0.740367,0.444716,0.0936756,1.26821e+06
3514.44,0.745119,0.456204,0.0906002,1.31832e+06
3501.1,0.766351,0.512731,0.0810316,1.46565e+06
3485.86,0.793906,0.600718,0.0675723,1.74589e+06
3480.47,0.81692,0.697229,0.0575747,2.08269e+06
3472.31,0.813503,0.682099,0.0583924,2.04619e+06
3465.37,0.804887,0.643867,0.059411,2.02551e+06
3458.65,0.804346,0.641369,0.0590028,2.02425e+06
3454.18,0.804285,0.641029,0.0566444,2.16284e+06
3446.93,0.802928,0.634274,0.0563737,2.1786e+06
3435.77,0.803254,0.632341,0.0538625,2.27636e+06
3419.85,0.79541,0.596928,0.0511589,2.46529e+06
3423.36,0.786034,0.558698,0.046962,2.76189e+06
3412.23,0.790606,0.576583,0.0489298,2.61535e+06
3405.94,0.787599,0.564351,0.047125,2.73502e+06
3401.37,0.790134,0.573006,0.0457111,2.82482e+06
3396.03,0.787262,0.563161,0.0453356,2.86818e+06
3390.96,0.788682,0.568948,0.0430047,3.04023e+06
3383.63,0.782735,0.550147,0.043411,3.00774e+06
3376.86,0.778519,0.5392,0.0422534,3.10181e+06
3370.82,0.782747,0.554565,0.0424679,3.07412e+06
3365.15,0.780903,0.548873,0.0428081,3.06122e+06
3357.29,0.78203,0.555178,0.0426231,3.07279e+06
3353.39,0.783151,0.561865,0.0428669,3.05821e+06
3351.36,0.784962,0.570917,0.0426625,3.06941e+06
3349.33,0.785266,0.571603,0.042949,3.04147e+06
3346.21,0.782117,0.561889,0.0440854,2.95607e+06
3341.61,0.780133,0.558462,0.0454288,2.85041e+06
3337.32,0.773088,0.53965,0.0477766,2.7205e+06
3334.1,0.769896,0.53009,0.0490383,2.64109e+06
3330.7,0.766281,0.522333,0.0506879,2.54861e+06
3327.15,0.764195,0.514113,0.0510933,2.53522e+06
3321.89,0.757544,0.493913,0.0528167,2.45322e+06
3317.29,0.747275,0.46448,0.0541484,2.41851e+06
3314.71,0.74791,0.46519,0.0540398,2.42141e+06
3312.9,0.744548,0.45743,0.0550309,2.37927e+06
3310.73,0.745494,0.458982,0.054332,2.40909e+06
3308.48,0.743107,0.452224,0.0538366,2.43729e+06
3305.59,0.738419,0.440069,0.0538161,2.45317e+06
3301.28,0.732494,0.42537,0.0535661,2.47369e+06
3296.8,0.718435,0.394042,0.0551305,2.42504e+06
3294.3,0.721196,0.399384,0.054284,2.45906e+06
3290.74,0.722534,0.402011,0.0543045,2.44908e+06
3287.54,0.725929,0.410159,0.0533516,2.49511e+06
