f, RPR, RBV, F_last, Recl_last
74256.8,0.854842,0.909915,0.110803,334369
74256.8,0.854842,0.909915,0.110803,334369
74256.6,0.854842,0.909915,0.110803,334370
74254.6,0.854842,0.909915,0.110803,334381
74234.6,0.854841,0.909914,0.110803,334491
74036.6,0.854836,0.909909,0.110803,335597
72233.5,0.854787,0.909857,0.110805,346851
68248.1,0.854434,0.909481,0.11015,346478
35356,0.850686,0.905492,0.103808,342772
385827,0.82063,0.873499,0.155557,955167
34996.3,0.849504,0.904234,0.106094,362280
34523.8,0.851722,0.906594,0.105166,368137
32940.2,0.860297,0.915721,0.0980568,397075
102780,0.923977,0.983504,0.0490001,844162
29651.9,0.876495,0.932963,0.084957,463705
201443,0.946094,1.00705,0.035967,1.05069e+06
29429.7,0.880025,0.93672,0.0823525,477480
29015.5,0.887652,0.944839,0.0766442,506837
28417.9,0.899417,0.957362,0.0675738,567494
28144.3,0.910311,0.968958,0.0585112,662511
27942,0.90669,0.965104,0.0614829,628105
29535.2,0.919688,0.978938,0.0531264,698220
27844.3,0.909415,0.968004,0.0597257,641409
27737.6,0.909895,0.968514,0.059304,651291
30013.9,0.909178,0.967752,0.0595775,663374
27733,0.909864,0.968482,0.0593158,651806
27746.4,0.910325,0.968973,0.0591168,653542
27732.1,0.909956,0.96858,0.059276,652152
27732.1,0.909949,0.968572,0.0592229,652435
27731.6,0.909952,0.968576,0.0592494,652294
27730.7,0.909936,0.968558,0.0592567,652296
27723.3,0.909768,0.96838,0.05933,652312
27706.6,0.909723,0.968332,0.0593536,652278
27542.8,0.909266,0.967845,0.0595902,651936
26189,0.904563,0.962839,0.0620108,648524
23234.3,0.903114,0.961297,0.0623377,642087
5360.74,0.887069,0.944218,0.0657066,581083
516227,0.94923,1.01038,0.0121439,499847
4872.65,0.891977,0.949443,0.0632712,579268
99588.6,0.92634,0.98602,0.0320159,578960
4870.44,0.892181,0.94966,0.0630818,579267
4887.9,0.891437,0.948868,0.0634479,579083
4870.21,0.892106,0.94958,0.0631187,579248
4869.77,0.892097,0.94957,0.0631312,579229
4865.62,0.892002,0.949469,0.0632564,579037
4856.45,0.891931,0.949394,0.0632995,578669
4765.93,0.891226,0.948643,0.0637323,575002
3977.92,0.883932,0.940879,0.0682334,539579
4688.73,0.867666,0.923565,0.0784833,475268
3664.18,0.878411,0.935003,0.0716955,515874
39152.5,0.889996,0.947334,0.0859268,495254
3661.66,0.878522,0.935121,0.0717965,515710
3792.46,0.878394,0.934984,0.0699368,515772
3661.61,0.87852,0.935119,0.0717615,515711
3661.52,0.87852,0.935118,0.0717646,515710
3660.69,0.878516,0.935115,0.0717959,515701
3658.85,0.878505,0.935103,0.071804,515677
3640.49,0.878394,0.934984,0.0718852,515441
3462.49,0.877272,0.93379,0.072703,513087
2254.6,0.865465,0.921222,0.0814258,490118
1653.38,0.863498,0.919129,0.0759648,453135
83601.4,0.869286,0.92529,0.0640603,442182
1649.35,0.864127,0.919799,0.0758828,453065
2022.49,0.858996,0.914336,0.0753058,452939
1649.31,0.864075,0.919744,0.0758766,453063
1649.22,0.864073,0.919741,0.0758842,453063
1648.4,0.864049,0.919715,0.07596,453064
1643.17,0.863801,0.919452,0.0767222,453069
1631.01,0.863812,0.919463,0.0766973,453087
1521.8,0.863915,0.919573,0.0764492,453273
3404.34,0.863754,0.919402,0.0694855,453725
1514.87,0.863911,0.919568,0.0760335,453298
5686.97,0.87064,0.926731,0.107782,452970
1514.86,0.863925,0.919583,0.0760773,453298
1514.83,0.863924,0.919582,0.0760772,453298
1514.61,0.863916,0.919573,0.0760763,453301
1512.49,0.863833,0.919486,0.0760675,453332
1507.76,0.863831,0.919484,0.0760832,453399
1461.51,0.863813,0.919465,0.0762408,454064
1099.67,0.863617,0.919255,0.077835,460769
6741.34,0.826559,0.87981,0.0604252,475335
1073.5,0.862248,0.917799,0.076596,461676
47499.4,0.887698,0.944888,0.209422,462193
1073.49,0.862279,0.917831,0.0766369,461676
1073.46,0.862267,0.917818,0.0766126,461676
1073.41,0.862266,0.917818,0.076613,461677
1072.9,0.862264,0.917816,0.076617,461678
1067.87,0.862244,0.917794,0.0766563,461689
1020.21,0.862041,0.917578,0.0770511,461799
925.432,0.860772,0.916228,0.0784099,458962
787.562,0.856085,0.911238,0.0825718,446629
731.278,0.848131,0.902772,0.0886471,424732
717.707,0.84177,0.896001,0.0929202,407704
710.422,0.834302,0.888052,0.0977733,388951
707.758,0.830671,0.884187,0.100095,380543
703.806,0.823993,0.877079,0.104534,366095
699.146,0.814807,0.8673,0.110853,348400
696,0.807683,0.859718,0.115989,336165
694.816,0.803589,0.855361,0.11908,329787
694.699,0.802527,0.85423,0.119893,328180
694.693,0.802511,0.854213,0.119902,328171
694.693,0.802341,0.854031,0.120025,327877
694.693,0.802399,0.854094,0.119981,327977
694.692,0.802407,0.854102,0.119974,327991
694.692,0.802393,0.854087,0.119983,327971
694.691,0.802364,0.854056,0.120003,327926
694.69,0.802322,0.854012,0.120031,327862
694.688,0.802266,0.853952,0.12007,327775
694.684,0.80219,0.853871,0.120123,327655
694.678,0.802084,0.853758,0.120197,327490
694.67,0.801947,0.853612,0.120292,327275
694.658,0.801881,0.853543,0.120338,327171
694.638,0.801881,0.853543,0.12034,327168
694.604,0.802005,0.853675,0.120255,327357
694.558,0.802339,0.85403,0.120024,327877
694.536,0.802781,0.8545,0.119718,328569
694.5,0.802876,0.854601,0.119652,328719
694.625,0.802885,0.854611,0.119645,328741
694.487,0.802879,0.854604,0.119649,328726
694.472,0.80261,0.854318,0.119836,328308
694.455,0.802263,0.853948,0.120075,327764
694.44,0.802083,0.853757,0.120199,327481
694.424,0.80196,0.853626,0.120285,327287
694.403,0.801997,0.853666,0.12026,327343
694.371,0.80212,0.853797,0.120175,327534
694.34,0.80239,0.854084,0.119989,327957
694.315,0.802602,0.854309,0.119842,328292
694.319,0.802759,0.854477,0.119733,328542
694.296,0.802691,0.854404,0.11978,328434
694.28,0.802598,0.854305,0.119845,328287
694.256,0.802371,0.854064,0.120001,327931
694.236,0.802144,0.853822,0.120159,327573
694.22,0.802094,0.853769,0.120193,327496
694.196,0.802045,0.853717,0.120227,327419
694.194,0.802165,0.853845,0.120145,327606
694.178,0.802116,0.853793,0.120178,327530
694.161,0.802276,0.853963,0.120068,327781
694.141,0.802426,0.854122,0.119964,328016
694.135,0.802455,0.854153,0.119944,328062
694.131,0.802445,0.854143,0.119951,328047
694.118,0.802432,0.854128,0.119961,328025
694.103,0.802331,0.854021,0.12003,327868
694.093,0.80224,0.853925,0.120093,327725
694.086,0.80212,0.853797,0.120177,327536
694.082,0.802086,0.85376,0.120201,327482
694.081,0.802096,0.853771,0.120194,327498
694.079,0.802154,0.853832,0.120154,327589
694.078,0.80228,0.853966,0.120067,327786
694.077,0.802298,0.853986,0.120054,327816
694.077,0.802286,0.853974,0.120062,327797
694.076,0.802249,0.853934,0.120088,327738
694.076,0.802237,0.853921,0.120096,327720
694.076,0.802237,0.853921,0.120097,327719
694.076,0.802238,0.853923,0.120096,327722
694.076,0.802241,0.853925,0.120094,327725
694.076,0.802244,0.853928,0.120092,327730
694.076,0.802248,0.853932,0.120089,327736
694.076,0.802253,0.853938,0.120086,327744
694.076,0.80226,0.853945,0.120081,327755
694.075,0.802269,0.853955,0.120075,327769
694.074,0.802279,0.853966,0.120067,327786
694.073,0.802295,0.853983,0.120056,327811
694.072,0.802333,0.854023,0.12003,327870
694.071,0.802322,0.854012,0.120038,327853
694.069,0.802366,0.854059,0.120007,327923
694.064,0.802398,0.854092,0.119985,327972
694.059,0.802394,0.854088,0.119988,327966
694.051,0.802372,0.854064,0.120003,327931
694.044,0.802285,0.853972,0.120063,327795
694.043,0.802219,0.853902,0.120108,327691
694.041,0.802214,0.853896,0.120112,327683
694.041,0.802226,0.85391,0.120103,327702
694.041,0.802237,0.853921,0.120096,327719
694.041,0.802256,0.853941,0.120083,327749
694.041,0.802279,0.853966,0.120067,327785
694.04,0.802305,0.853994,0.120049,327826
694.039,0.802333,0.854024,0.120029,327870
694.038,0.802363,0.854056,0.120009,327917
694.037,0.802378,0.854072,0.119998,327941
