f, RPR, RBV, F_last, Recl_last
77949,0.842656,0.866003,0.110803,334369
77949,0.842656,0.866003,0.110803,334369
77948.8,0.842656,0.866003,0.110803,334370
77946.8,0.842656,0.866003,0.110803,334382
77926.8,0.842656,0.866004,0.110803,334501
77729.4,0.842663,0.86601,0.110805,335697
75991.9,0.842727,0.866076,0.110824,347886
72132.6,0.844391,0.867787,0.110635,347435
39751.7,0.859138,0.882942,0.108765,342965
223533,0.879312,0.903675,0.0861647,650854
39730.9,0.861326,0.88519,0.106355,364786
39689.4,0.861439,0.885307,0.10619,365093
39291.5,0.862562,0.886461,0.10456,368179
38757,0.872969,0.897156,0.0895797,400505
37980.1,0.869032,0.893111,0.0952186,387413
37200.5,0.879027,0.903383,0.0840208,426599
36504.2,0.875669,0.899931,0.0877397,412598
36213.8,0.909039,0.934226,0.0618675,548415
35396.2,0.896633,0.921476,0.0712869,488493
34720.1,0.918982,0.944444,0.0555148,615985
33939.9,0.931854,0.957673,0.0465414,731101
35008.3,0.950951,0.977299,0.0339215,942936
33720.8,0.938154,0.964147,0.0423815,787891
33416.3,0.943331,0.969468,0.038654,856520
32989.5,0.950216,0.976544,0.0338981,967635
35824.9,0.962498,0.989165,0.0258617,1.15367e+06
32940.9,0.951849,0.978222,0.0328344,987681
36788.3,0.956698,0.983206,0.0282465,1.00473e+06
32940.3,0.951915,0.97829,0.0327733,987889
32939.2,0.951912,0.978286,0.0327863,987867
32937,0.951906,0.97828,0.0327911,987822
32915.8,0.951847,0.97822,0.0328391,987370
32764.9,0.951244,0.9776,0.0333238,982865
32418.5,0.95084,0.977185,0.0335923,975835
29201.3,0.946584,0.972811,0.0364104,908191
22583,0.938032,0.964022,0.0441688,778836
199420,0.909123,0.934312,0.0902099,577460
22398.6,0.938111,0.964103,0.0449734,772881
78282.7,0.91682,0.942222,0.0288452,769587
22398,0.938069,0.96406,0.0449116,772871
22396.9,0.938045,0.964036,0.0449116,772848
22388.5,0.937807,0.963791,0.0449117,772620
22369.5,0.937774,0.963757,0.0449575,772222
22182,0.937445,0.963419,0.045419,768248
20575,0.934036,0.959915,0.0503209,729602
17144.6,0.927835,0.953542,0.0562051,659118
22513.9,0.900463,0.925412,0.0577414,538248
16201.4,0.921324,0.946851,0.056621,623617
221187,0.687459,0.706506,0.685525,579548
16197.9,0.921045,0.946564,0.0571059,623464
16213.4,0.920623,0.94613,0.0586123,623268
16197.3,0.92098,0.946497,0.0573388,623433
16196.2,0.920983,0.9465,0.0573319,623416
16185.4,0.921015,0.946533,0.0572629,623248
16095.2,0.921331,0.946858,0.0565783,621571
15892,0.921078,0.946598,0.0568313,618468
13965.3,0.918495,0.943944,0.0594271,588273
10685.7,0.905764,0.93086,0.0749803,527132
608409,0.502112,0.516024,0.00455989,450266
10676.7,0.905422,0.930509,0.0743685,526930
11149.1,0.906616,0.931736,0.069334,527117
10676.5,0.905446,0.930533,0.0742735,526934
10676.2,0.905452,0.930539,0.0742783,526930
10673.1,0.905513,0.930602,0.0743259,526888
10655,0.906122,0.931228,0.0748035,526472
10612.2,0.906043,0.931147,0.0748746,525900
10193.6,0.905254,0.930336,0.0755901,520220
7019.82,0.896715,0.92156,0.0831418,466660
3860.87,0.884462,0.908967,0.103923,378411
568542,0.919736,0.945219,0.109641,313600
3850.86,0.885125,0.909649,0.10394,378194
5883.78,0.886878,0.911451,0.0935947,377919
3850.81,0.885135,0.90966,0.103886,378193
3850.74,0.885147,0.909672,0.10393,378194
3850.59,0.885148,0.909673,0.103928,378195
3849.11,0.885154,0.909679,0.103909,378211
3835.33,0.885215,0.909741,0.103719,378370
3804.75,0.885294,0.909823,0.103569,378702
3523.71,0.886079,0.91063,0.102075,382032
5660.29,0.889279,0.913918,0.128087,389006
3488.73,0.886678,0.911245,0.104709,382808
67969.9,0.860241,0.884076,0.316759,381714
3488.71,0.886687,0.911255,0.104767,382808
3488.67,0.886688,0.911255,0.104769,382807
3488.34,0.88669,0.911257,0.10479,382797
3487.59,0.886683,0.91125,0.104795,382777
3480.12,0.886618,0.911184,0.104848,382580
3407.07,0.885966,0.910514,0.105381,380609
2834.86,0.879195,0.903554,0.110863,361452
11537.5,0.859722,0.883542,0.0939056,330369
2792.57,0.878214,0.902547,0.10968,359359
116672,0.861844,0.885723,0.0548763,358598
2792.55,0.878214,0.902547,0.109659,359358
2792.53,0.878214,0.902547,0.109659,359358
2792.27,0.878213,0.902546,0.109659,359357
2789.68,0.878204,0.902536,0.109663,359343
2764.11,0.878108,0.902438,0.109698,359207
