f, RPR, RBV, F_last, Recl_last
2.67523e+07,0.835128,0.902615,0.110803,334369
2.67523e+07,0.835128,0.902615,0.110803,334369
2.67523e+07,0.835128,0.902615,0.110803,334369
2.67523e+07,0.835128,0.902615,0.110803,334369
2.67523e+07,0.835128,0.902615,0.110803,334367
2.67521e+07,0.835128,0.902615,0.110803,334349
2.67501e+07,0.835128,0.902615,0.110803,334168
2.67301e+07,0.835128,0.902615,0.110803,332361
2.65307e+07,0.835129,0.902616,0.110801,314822
2.45892e+07,0.835134,0.902622,0.110786,183169
2.343e+07,0.026773,0.0289365,4.31837,188369
2.12833e+07,0.0373121,0.0403273,3.35501,223684
1.78568e+07,0.97751,1.0565,0.00556494,99119.7
1.62979e+07,0.036835,0.0398116,0.00249139,920.906
1.46083e+07,0.318351,0.344077,4.9352,258.539
9.21531e+06,0.976125,1.05501,0.00274925,180.673
5.65321e+07,0.0183482,0.0198309,4.79262,7.07098e+07
5.65629e+06,0.252469,0.272871,1.48106,249.139
2.89716e+07,0.323521,0.349665,0.00249387,126740
5.20167e+06,0.0455373,0.0492172,4.50474,293.853
5.19937e+07,0.565895,0.611625,0.00336998,9.97949e+07
4.64558e+06,0.0278252,0.0300737,1.73499,434.665
5.1149e+06,0.324844,0.351095,0.0972823,662.641
4.33959e+06,0.0636601,0.0688045,0.673935,504.185
5.70316e+06,0.408813,0.441849,0.98129,621.475
4.29359e+06,0.124357,0.134406,0.707629,517.146
4.41709e+06,0.634046,0.685284,1.41962,494.461
4.28084e+06,0.245938,0.265813,0.833576,511.99
4.27584e+06,0.396718,0.428777,0.584994,493.362
4.26707e+06,0.383128,0.414089,0.600912,485.413
4.25288e+06,0.358718,0.387707,0.763121,476.493
4.42881e+06,0.315617,0.341123,1.07012,463.183
4.23911e+06,0.337241,0.364494,0.906766,469.752
5.05016e+06,0.179831,0.194363,1.29418,446.044
4.23863e+06,0.330501,0.357209,0.916668,469.031
4.24088e+06,0.336464,0.363654,1.09291,472.875
4.23856e+06,0.331529,0.35832,0.941579,469.604
4.23841e+06,0.33143,0.358213,0.935169,469.576
4.23738e+06,0.330281,0.356971,0.872938,469.293
4.23505e+06,0.327698,0.35418,0.892521,469.181
4.21611e+06,0.301787,0.326175,1.10783,468.063
4.1753e+06,0.283613,0.306532,1.13854,469.824
3.94593e+06,0.121493,0.131311,1.48028,487.984
4.21467e+06,0.0238485,0.0257757,2.85801,467.111
3.84903e+06,0.0580677,0.0627602,1.93217,480.189
6.33795e+06,0.042071,0.0454708,4.26555,436.006
3.84688e+06,0.0573122,0.0619436,2.01936,479.346
3.98241e+06,0.0640135,0.0691865,1.62961,490.729
3.84685e+06,0.0574088,0.0620481,2.01326,479.511
3.84684e+06,0.0572267,0.0618512,2.00286,479.398
3.84683e+06,0.0572368,0.0618621,2.00308,479.404
3.84671e+06,0.0573374,0.0619709,2.00523,479.458
3.84644e+06,0.0573515,0.0619861,2.00519,479.416
3.84377e+06,0.0574924,0.0621384,2.00476,478.998
3.81777e+06,0.0589211,0.0636826,2.00045,474.845
3.68391e+06,0.0751201,0.0811906,1.95757,436.107
5.01435e+06,0.0980054,0.105925,2.1666,394.591
3.66657e+06,0.0771157,0.0833475,1.97701,431.867
5.93291e+06,0.116214,0.125606,1.48995,443.276
3.66643e+06,0.0773395,0.0835894,1.97335,431.945
3.66623e+06,0.0774561,0.0837154,1.96768,432.12
3.66584e+06,0.077478,0.0837391,1.96693,432.056
3.66207e+06,0.0776978,0.0839766,1.95944,431.42
3.63772e+06,0.0799189,0.0863772,1.88535,425.139
3.59149e+06,0.0936025,0.101167,1.66585,416.772
5.95505e+06,0.0456243,0.0493113,3.28074,353.522
3.59079e+06,0.0928718,0.100377,1.68123,415.961
3.66724e+06,0.0982334,0.106172,1.54479,420.968
3.59079e+06,0.0929203,0.100429,1.67995,416.007
3.59077e+06,0.0929139,0.100422,1.68005,416.003
3.59065e+06,0.0928508,0.100354,1.68109,415.959
3.58969e+06,0.0922213,0.0996738,1.69152,415.527
3.58751e+06,0.0913477,0.0987296,1.70398,415.15
3.56626e+06,0.0830113,0.0897195,1.83164,411.408
3.40664e+06,0.0323695,0.0349853,3.32137,376.75
4.51894e+06,0.0180241,0.0194807,4.88713,317.757
3.3863e+06,0.0280401,0.030306,3.58513,370.934
6.97661e+06,0.0294707,0.0318523,1.29579,476.472
3.38629e+06,0.0280373,0.030303,3.58117,371.072
3.38627e+06,0.0280362,0.0303018,3.58127,371.068
3.38609e+06,0.028025,0.0302898,3.58219,371.027
3.38571e+06,0.0279945,0.0302567,3.58404,370.958
3.38186e+06,0.0276919,0.0299297,3.60252,370.272
3.34573e+06,0.0249541,0.0269707,3.78437,363.53
4.72871e+06,0.0224511,0.0242654,4.05782,350.06
3.34494e+06,0.0249137,0.026927,3.78851,363.326
3.50638e+06,0.0250128,0.0270341,3.75151,365.022
3.34493e+06,0.0249142,0.0269275,3.78831,363.336
3.34493e+06,0.0249135,0.0269268,3.78836,363.333
3.34484e+06,0.0249068,0.0269195,3.78891,363.308
3.34401e+06,0.0248395,0.0268468,3.79437,363.059
3.33582e+06,0.0241852,0.0261396,3.84865,360.583
3.26447e+06,0.0192676,0.0208246,4.34421,337.319
3.13185e+06,0.0162878,0.017604,4.90516,298.446
2.96747e+06,0.0346725,0.0374744,4.34788,233.954
2.9006e+06,0.0392771,0.0424512,4.18529,207.894
2.8281e+06,0.0250523,0.0270768,4.7014,186.863
2.73331e+06,0.0174071,0.0188138,4.92014,178.045
1.15434e+07,0.679487,0.734397,0.00856685,3098.32
2.8475e+06,0.0298587,0.0322716,2.85413,199.745
2.69386e+06,0.0171713,0.0185589,4.50456,179.01
2.78244e+06,0.031856,0.0344303,2.09397,200.328
2.65819e+06,0.0199633,0.0215766,3.75467,183.302
2.60084e+06,0.0204567,0.0221098,3.58208,182.71
2.53072e+06,0.0186228,0.0201277,4.12639,180.98
2.50064e+06,0.0205998,0.0222645,4.37357,179.731
2.46255e+06,0.0352451,0.0380933,4.74205,178.774
2.45141e+06,0.0342093,0.0369738,4.79918,178.573
2.43631e+06,0.0223373,0.0241424,4.76971,178.246
2.42465e+06,0.016585,0.0179252,4.82129,177.902
2.42064e+06,0.0159054,0.0171908,4.89445,177.724
2.4191e+06,0.0159338,0.0172214,4.93711,177.683
2.41843e+06,0.0158283,0.0171073,4.95205,177.691
2.41816e+06,0.0157422,0.0170144,4.95275,177.691
2.41802e+06,0.0157082,0.0169776,4.95159,177.685
2.41796e+06,0.0157019,0.0169708,4.95201,177.683
2.41794e+06,0.0156999,0.0169686,4.95274,177.684
2.41793e+06,0.0156992,0.0169679,4.95301,177.684
2.41793e+06,0.0156994,0.016968,4.95296,177.683
2.41792e+06,0.0157001,0.0169689,4.95284,177.683
2.41792e+06,0.0157004,0.0169691,4.95291,177.683
2.41792e+06,0.0157,0.0169687,4.953,177.683
2.41792e+06,0.0156994,0.0169681,4.95303,177.683
2.41792e+06,0.0156992,0.0169678,4.95302,177.683
2.41792e+06,0.0156995,0.0169681,4.95301,177.683
2.41792e+06,0.0156998,0.0169686,4.95302,177.683
2.41792e+06,0.0157001,0.0169688,4.95303,177.683
2.41791e+06,0.0156999,0.0169686,4.95303,177.683
2.41791e+06,0.0156994,0.0169681,4.953,177.683
2.41791e+06,0.0156992,0.0169679,4.953,177.683
2.41791e+06,0.0156994,0.0169681,4.95302,177.683
2.41791e+06,0.0156998,0.0169685,4.95303,177.683
2.41791e+06,0.0156999,0.0169687,4.95303,177.683
2.41791e+06,0.0156995,0.0169682,4.95302,177.683
2.41791e+06,0.0156992,0.0169679,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
2.41791e+06,0.0156991,0.0169678,4.95303,177.683
