f, RPR, RBV, F_last, Recl_last
72428.9,0.835128,0.902615,0.110803,457148
72428.9,0.835128,0.902615,0.110803,457148
72428.7,0.835128,0.902615,0.110803,457148
72426.7,0.835128,0.902614,0.110803,457149
72406.7,0.835129,0.902604,0.110803,457159
72206.9,0.835141,0.902504,0.110799,457251
70231.4,0.83526,0.901501,0.110764,458181
52659.1,0.836425,0.891588,0.110411,467577
40019.1,0.855161,0.827761,0.104211,693473
29986.4,0.861122,0.938131,0.0964991,1.03808e+06
21194.2,0.875751,0.948936,0.0831822,1.25193e+06
28694.7,0.897635,1.09909,0.0656404,1.53929e+06
18041.5,0.884101,0.998622,0.0764811,1.347e+06
13901.4,0.895754,1.15711,0.0658976,1.43856e+06
12275.9,0.908547,1.37808,0.0507133,1.63537e+06
10181.7,0.914559,1.38838,0.044824,1.74669e+06
8839.63,0.925035,1.4581,0.0391056,2.1918e+06
7403.18,0.928789,1.66533,0.0364426,2.83049e+06
6160.76,0.93025,1.6297,0.0322854,2.7404e+06
5034.17,0.931782,1.62126,0.0293366,2.61275e+06
5675.27,0.93705,1.96933,0.0275185,2.85687e+06
4561.73,0.934178,1.75263,0.0285748,2.7104e+06
4274.73,0.936879,1.84348,0.0271073,2.59733e+06
4389.47,0.935818,1.83823,0.0267064,2.63228e+06
4154.74,0.936496,1.83866,0.0269387,2.6119e+06
3958.18,0.936106,1.83231,0.0268623,2.66197e+06
3649.9,0.935807,1.94538,0.026743,2.72957e+06
3407.8,0.934336,2.13464,0.0260016,2.61264e+06
3346.55,0.938176,2.1684,0.026196,2.92384e+06
3260.21,0.938266,2.18172,0.0263221,2.99753e+06
3142.92,0.938881,2.22772,0.0262472,2.91234e+06
3073.25,0.939147,2.21526,0.0262304,2.61288e+06
2979.31,0.939248,2.29415,0.0267623,2.50944e+06
2962.51,0.93877,2.25717,0.0278258,2.35415e+06
2936.35,0.939037,2.29587,0.0280276,2.28546e+06
2917.16,0.938938,2.29857,0.0282469,2.07602e+06
2884.43,0.939399,2.34622,0.029034,1.95776e+06
2833.68,0.939633,2.38017,0.030627,1.68405e+06
2785.32,0.939859,2.42499,0.0346738,1.26655e+06
2747.28,0.941164,2.56254,0.039605,846757
2763.69,0.940429,2.53124,0.0439867,653080
2732.63,0.940862,2.54895,0.0413844,759332
2712.25,0.939369,2.46556,0.0428165,735106
2683.4,0.937204,2.36566,0.0441121,720332
2649.85,0.934147,2.24089,0.0460199,721211
2615.21,0.930898,2.13637,0.0478111,703629
2601.54,0.92858,2.07389,0.0507404,686263
2612.95,0.927835,2.07742,0.0509202,634925
2596.73,0.928285,2.07519,0.0508119,665354
2590.62,0.928023,2.06996,0.0514112,656696
2583.71,0.927511,2.0526,0.0515172,645563
2578.94,0.927139,2.04299,0.0520086,640095
2574.63,0.92674,2.02769,0.0522917,639883
2575.82,0.926285,2.0141,0.0525949,633040
2573.04,0.926512,2.02086,0.0524433,636456
2569.88,0.926354,2.01741,0.0527074,629052
2564.28,0.925965,2.00388,0.0531641,619439
2561.71,0.925664,1.99212,0.053362,609736
2560.43,0.925805,1.99767,0.0532697,614264
2557.03,0.925834,2.00153,0.0532883,610193
2556.56,0.925659,1.99686,0.053211,613502
2557.32,0.925502,1.98112,0.0528804,616793
2555.33,0.925596,1.99053,0.053078,614830
2552.72,0.925869,1.99993,0.0531459,608021
2552.93,0.926356,2.01374,0.0532134,598483
2554,0.926609,2.01539,0.0530118,599694
2552.71,0.926444,2.0143,0.0531436,598902
2551.98,0.926561,2.01753,0.0530159,601234
2551.87,0.926909,2.02855,0.0526399,607181
2552.38,0.927288,2.04084,0.0522735,612336
2551.81,0.927042,2.03283,0.0525115,608978
2551.55,0.927252,2.03935,0.0523236,611372
2551.21,0.927824,2.05782,0.0518296,616296
2550.64,0.928691,2.08763,0.0511286,622330
2549.87,0.930063,2.13609,0.0499299,635225
2549.06,0.93124,2.17633,0.0487532,654266
2547.72,0.93203,2.2062,0.0482985,656082
2545.49,0.932611,2.22536,0.0480005,656179
2541.72,0.933043,2.24034,0.0478741,651477
2534.43,0.932778,2.22629,0.0481602,650625
2500,0.930104,2.09921,0.0511227,642094
2421.53,0.929277,2.06153,0.0518506,640133
2287.66,0.928558,2.0268,0.0516117,665181
29957.2,0.928488,2.02121,0.0514667,760107
2566.36,0.928486,2.01722,0.0515566,699859
2266.48,0.928518,2.02136,0.051587,680561
2234.5,0.928841,2.02955,0.051177,689784
2174.52,0.929017,2.03177,0.0510051,694813
2064.59,0.927167,1.96628,0.0522126,693963
1876.78,0.927554,1.96132,0.051506,696729
1627.11,0.923231,1.80927,0.0542031,694301
1523.55,0.925336,1.83507,0.0525515,695022
1484.96,0.92241,1.77584,0.0558965,686067
1447.16,0.92348,1.78503,0.0546411,689348
1374.64,0.921408,1.70247,0.0564065,711985
1353.42,0.911194,1.48916,0.063105,732639
1321.39,0.915241,1.56476,0.0604618,724730
1270.89,0.910742,1.4374,0.0617277,805766
1228.81,0.902596,1.32032,0.0656697,808832
1208.42,0.895921,1.2172,0.0701095,775236
1176.1,0.896001,1.21418,0.0697355,773803
1140.68,0.896069,1.2017,0.06983,773300
1106.22,0.89101,1.12809,0.0728076,742274
1081.46,0.886456,1.07383,0.0764003,698363
1061.77,0.872784,0.938856,0.0869917,631867
1037.89,0.871493,0.922421,0.08891,614462
1008.94,0.875739,0.954351,0.0875247,611650
1017.59,0.881702,0.992436,0.0833919,630622
996.085,0.878403,0.970972,0.0856773,619948
979.055,0.87888,0.974301,0.0854269,639687
957.671,0.874476,0.92576,0.0883343,639219
936.471,0.872376,0.905208,0.0900731,653658
920.899,0.876125,0.935014,0.0864568,694651
901.421,0.874844,0.915919,0.0858304,707376
883.689,0.873416,0.893482,0.0852947,714308
885.628,0.878006,0.934839,0.0805844,768974
874.119,0.875763,0.913881,0.0828661,741598
860.983,0.878901,0.938302,0.0792246,792870
843.472,0.88369,0.978483,0.0735491,894633
824.307,0.889487,1.03,0.0643408,1.14284e+06
811.926,0.891041,1.04824,0.0609732,1.25357e+06
807.035,0.89331,1.06569,0.0574297,1.36871e+06
798.95,0.893144,1.0635,0.0566192,1.41038e+06
788.636,0.890687,1.0399,0.0558141,1.46293e+06
788.493,0.891356,1.04012,0.0528394,1.62269e+06
784.916,0.891054,1.03998,0.0542065,1.54609e+06
780.614,0.889407,1.024,0.054233,1.56498e+06
775.054,0.888675,1.01925,0.0533128,1.60711e+06
768.802,0.88579,0.984468,0.0525354,1.69734e+06
763.406,0.884771,0.976487,0.050547,1.84014e+06
756.396,0.882666,0.954382,0.0506466,1.83688e+06
751.698,0.880168,0.933678,0.0488184,1.97759e+06
747.351,0.879856,0.928387,0.0493589,1.96678e+06
744.216,0.8775,0.904156,0.0504016,1.91741e+06
744.491,0.875948,0.894927,0.0502942,1.89409e+06
742.647,0.87674,0.899528,0.050349,1.90595e+06
740.224,0.874352,0.878748,0.0508352,1.90513e+06
737.427,0.870274,0.844572,0.0519558,1.89608e+06
734.394,0.867752,0.824105,0.0528218,1.87799e+06
730.231,0.86367,0.791995,0.0549522,1.8172e+06
724.558,0.858276,0.753185,0.0588548,1.68412e+06
