f, RPR, RBV, F_last, Recl_last
77571.6,0.842656,0.866003,0.110803,334369
77571.6,0.842656,0.866003,0.110803,334369
77571.4,0.842656,0.866003,0.110803,334370
77569.4,0.842656,0.866003,0.110803,334382
77549.4,0.842656,0.866004,0.110803,334501
77352,0.842663,0.86601,0.110805,335688
75610.3,0.842726,0.866075,0.110823,347796
71742.9,0.844401,0.867797,0.110628,347366
39303.7,0.859239,0.883046,0.108695,343089
225492,0.881428,0.90585,0.0839808,665513
39296.6,0.86164,0.885514,0.10605,365512
39282.3,0.861681,0.885556,0.105993,365623
39141.4,0.862089,0.885975,0.105418,366732
37976.7,0.866067,0.890063,0.0998407,378014
35811.1,0.873646,0.897853,0.0906471,404300
43901.9,0.905711,0.930806,0.0636536,528371
34248.1,0.886685,0.911253,0.0793925,446882
36937.8,0.912578,0.937863,0.0608983,588432
33808.5,0.894303,0.919081,0.0738998,481312
32994.5,0.903944,0.92899,0.0668438,529089
32798.1,0.924896,0.950522,0.0524161,638204
32733.4,0.930063,0.955832,0.0484864,676732
32665.9,0.931872,0.957691,0.0472761,695922
32549.7,0.934406,0.960296,0.0454791,719910
32824.1,0.940544,0.966604,0.040764,763879
32523.2,0.935867,0.961797,0.0443534,729724
34109.5,0.938492,0.964494,0.0462105,733766
32522.7,0.935911,0.961842,0.0443829,729789
32521.9,0.935911,0.961843,0.044388,729802
32514.1,0.935919,0.961851,0.0444392,729933
32497,0.935927,0.961859,0.0444233,730193
32328.4,0.93601,0.961944,0.0442646,732800
30958.9,0.936814,0.962771,0.0427101,759379
28095.1,0.940887,0.966956,0.0406457,811013
50506.9,0.963304,0.989995,0.0372929,920247
27806,0.943766,0.969915,0.0402971,821311
82026.2,0.945945,0.972155,0.0193437,832460
27804.5,0.943804,0.969954,0.0401453,821366
27801.6,0.943801,0.969951,0.0401187,821325
27780.9,0.943777,0.969926,0.0398536,820920
27733.7,0.943734,0.969882,0.039887,820227
27268.6,0.943305,0.969441,0.040222,813330
23315.1,0.938727,0.964737,0.043744,747424
15460.5,0.927199,0.952889,0.0551821,630502
230760,0.816882,0.839515,0.0723061,452170
15232.6,0.926255,0.951919,0.055577,624973
73565.9,0.921423,0.946953,0.0386796,616938
15231.7,0.926285,0.951949,0.055504,624944
15230.5,0.926281,0.951946,0.0554514,624915
15228.1,0.926274,0.951938,0.0554613,624882
15204.5,0.9262,0.951862,0.0555601,624554
14991.7,0.925453,0.951094,0.0565591,621283
14518.9,0.924732,0.950353,0.0573684,614947
10327.5,0.91703,0.942439,0.0661595,554998
47526.9,0.926435,0.952104,0.0173038,448366
9880.19,0.919085,0.944551,0.0579937,544022
187599,0.963242,0.989931,0.0357569,534826
9879.3,0.919276,0.944747,0.0579403,544004
9878.58,0.919293,0.944764,0.0581906,543981
9877.15,0.919286,0.944757,0.0581955,543968
9863.04,0.919211,0.944679,0.0582447,543831
9739.19,0.918451,0.943899,0.0587391,542465
9463.25,0.918048,0.943485,0.059256,539801
7013.47,0.913853,0.939173,0.0646935,513868
24068,0.916248,0.941634,0.0842742,462198
6695.81,0.914921,0.940271,0.0666667,507698
169909,0.914171,0.9395,0.0166041,503494
6695.22,0.914944,0.940295,0.0664991,507690
6694.36,0.914952,0.940303,0.0665689,507674
6692.63,0.914951,0.940301,0.0665737,507655
6675.45,0.914934,0.940284,0.066621,507455
6518.13,0.914767,0.940112,0.0670963,505468
6173.36,0.914024,0.939349,0.0679744,501422
3552.94,0.906039,0.931143,0.0774367,462690
117699,0.773165,0.794587,0.571531,394618
3495.04,0.905035,0.930111,0.0803617,461359
27107,0.824502,0.847347,0.0438804,460529
3494.9,0.904955,0.930028,0.0802455,461357
3494.71,0.904922,0.929994,0.0801735,461352
3494.32,0.90492,0.929993,0.0801768,461344
3490.46,0.904904,0.929976,0.0802096,461261
3452.18,0.904742,0.92981,0.0805385,460434
3109.05,0.903101,0.928123,0.0839047,452246
2520.55,0.898359,0.92325,0.0857833,435128
952375,0.838931,0.862175,0.018845,405745
2520.45,0.898356,0.923247,0.08575,435121
2520.26,0.898354,0.923245,0.0857526,435112
2518.33,0.898334,0.923224,0.0857786,435026
2499.25,0.898127,0.923011,0.0860389,434168
2324.74,0.896036,0.920862,0.0886866,425676
4379.9,0.892907,0.917647,0.0976002,407529
2309.07,0.895841,0.920662,0.0893684,424195
2278.21,0.895345,0.920153,0.0899205,422274
2025.3,0.89026,0.914926,0.0956351,403538
1767.88,0.873145,0.897338,0.114137,350866
1701.75,0.866459,0.890466,0.120813,334051
1622.07,0.849555,0.873094,0.138035,296385
1548.8,0.836699,0.859882,0.150452,273727
1529.99,0.832359,0.855421,0.154242,266653
1518.97,0.831907,0.854957,0.154192,266757
1507.79,0.82341,0.846224,0.162896,254548
1494.23,0.817804,0.840463,0.169047,247342
1479.37,0.810225,0.832674,0.177743,237829
1475.43,0.807933,0.830319,0.180466,235017
1474.6,0.806024,0.828357,0.182565,232670
1474.49,0.806773,0.829126,0.18172,233605
1474.42,0.806378,0.828721,0.182145,233125
1474.41,0.80632,0.828661,0.182205,233059
1474.41,0.80634,0.828681,0.182183,233085
1474.41,0.806373,0.828715,0.182149,233125
1474.4,0.806424,0.828768,0.182094,233187
1474.4,0.8065,0.828846,0.182014,233276
1474.39,0.806603,0.828952,0.181903,233396
1474.37,0.806735,0.829087,0.181762,233547
1474.34,0.806881,0.829238,0.181604,233713
1474.31,0.806972,0.829331,0.181505,233811
1474.25,0.806915,0.829272,0.181564,233736
1474.17,0.806679,0.82903,0.181814,233457
1474.41,0.806352,0.828694,0.182161,233078
1474.13,0.806558,0.828906,0.181942,233317
1474.09,0.80639,0.828733,0.182123,233127
1474.04,0.806218,0.828556,0.182313,232937
1473.99,0.806171,0.828508,0.182368,232896
1474,0.806106,0.828441,0.182443,232834
1473.96,0.806135,0.828471,0.18241,232862
1473.93,0.806215,0.828553,0.182324,232954
1473.88,0.806397,0.82874,0.182125,233160
1473.84,0.806634,0.828983,0.181866,233425
1473.81,0.806699,0.82905,0.181794,233496
1473.78,0.806711,0.829063,0.181779,233508
1473.74,0.806655,0.829005,0.181839,233442
1473.7,0.806495,0.828841,0.182012,233260
1473.67,0.806275,0.828615,0.182251,233010
1473.63,0.806253,0.828591,0.182276,232984
1473.63,0.806314,0.828654,0.18221,233054
1473.62,0.806288,0.828628,0.182238,233025
1473.6,0.806375,0.828718,0.182144,233124
1473.57,0.806483,0.828829,0.182028,233249
1473.53,0.806593,0.828942,0.18191,233376
1473.49,0.806684,0.829035,0.181813,233482
1473.51,0.806733,0.829085,0.181761,233539
1473.46,0.806711,0.829063,0.181784,233514
1473.44,0.806623,0.828972,0.181879,233412
1473.41,0.806452,0.828796,0.182062,233214
1473.39,0.806335,0.828676,0.182187,233078
1473.36,0.806282,0.828622,0.182242,233016
1473.38,0.806307,0.828648,0.182214,233044
1473.35,0.806295,0.828635,0.182228,233031
1473.32,0.806363,0.828705,0.182154,233108
1473.28,0.806499,0.828845,0.18201,233266
1473.4,0.806671,0.829021,0.181827,233466
1473.26,0.806565,0.828913,0.181939,233343
1473.24,0.806575,0.828923,0.181929,233355
1473.22,0.806548,0.828895,0.181959,233325
1473.25,0.806519,0.828865,0.181991,233292
1473.2,0.806534,0.828881,0.181974,233310
1473.18,0.806491,0.828837,0.18202,233260
1473.15,0.806439,0.828783,0.182076,233198
1473.2,0.806389,0.828731,0.182128,233138
1473.13,0.806416,0.82876,0.182099,233171
1473.12,0.806431,0.828775,0.182083,233188
1473.1,0.806473,0.828818,0.182038,233236
1473.1,0.806525,0.828872,0.181982,233298
1473.08,0.806503,0.828849,0.182005,233272
1473.07,0.806523,0.828869,0.181985,233295
1473.04,0.806528,0.828875,0.18198,233302
1473.08,0.806531,0.828877,0.181978,233306
1473.03,0.806529,0.828876,0.181979,233304
1473.02,0.806511,0.828857,0.181998,233283
1473,0.806479,0.828824,0.182033,233244
1473.01,0.806443,0.828787,0.182071,233202
1472.98,0.80646,0.828805,0.182053,233222
1472.97,0.806457,0.828801,0.182056,233218
1472.96,0.806464,0.828809,0.182047,233227
1472.96,0.806479,0.828824,0.182032,233244
1472.94,0.806473,0.828818,0.182038,233237
1472.93,0.806484,0.828829,0.182026,233250
1472.92,0.806498,0.828844,0.182012,233267
1472.92,0.806512,0.828858,0.181997,233284
1472.91,0.806506,0.828852,0.182003,233277
