#numero_de_años	o	instantes																																					
29																																							
#numero_de_trimestres	por	año																																					
4																																							
#numero_de_años	para	conseguir	el	equilibrio																																			
12																																							
#numero_de_tallas																																							
37
# solo cambia el cv del pelaces,..... no pasa na

#Año	Est	B.rs	cv_r	nmB.rs	B.pel	cv_pel	nmB.pel	mph	cv_mph	CPUE	cv_cpue	Desemb	cv_des	nm																									
1990.1	1	0	0.3	30	0	0.3	30	0	0.3	0	0.3	42	0.01	30
1990.2	2	0	0.3	30	0	0.3	30	0	0.3	0	0.3	15.8	0.01	30
1990.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	5.9	0.01	30
1990.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	23.1	0.01	30
1991.1	1	0	0.3	30	0	0.3	30	0	0.3	0	0.3	82.4	0.01	30
1991.2	2	0	0.3	30	0	0.3	30	0	0.3	0	0.3	15.4	0.01	30
1991.3	3	0	0.3	30	0	0.3	30	0	0.3	0.92	0.3	5.1	0.01	30
1991.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	15	0.01	30
1992.1	1	0	0.3	30	0	0.3	30	0	0.3	0	0.3	89.9	0.01	30
1992.2	2	0	0.3	30	0	0.3	30	0	0.3	0	0.3	25.3	0.01	30
1992.3	3	0	0.3	30	0	0.3	30	0	0.3	1.51	0.3	11.6	0.01	30
1992.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	12.2	0.01	30
1993.1	1	0	0.3	30	0	0.3	30	0	0.3	0	0.3	54.8	0.01	30
1993.2	2	0	0.3	30	0	0.3	30	0	0.3	0	0.3	22.6	0.01	30
1993.3	3	0	0.3	30	0	0.3	30	0	0.3	1.69	0.3	7.1	0.01	30
1993.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	22.9	0.01	30
1994.1	1	0	0.3	30	0	0.3	30	0	0.3	0	0.3	179.1	0.01	30
1994.2	2	0	0.3	30	0	0.3	30	0	0.3	0	0.3	59.1	0.01	30
1994.3	3	0	0.3	30	0	0.3	30	0	0.3	2.71	0.3	29.3	0.01	30
1994.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	50.9	0.01	30
1995.1	1	0	0.3	30	0	0.3	30	0	0.3	0	0.3	79.2	0.01	30
1995.2	2	0	0.3	30	0	0.3	30	0	0.3	0	0.3	13.9	0.01	30
1995.3	3	0	0.3	30	0	0.3	30	0	0.3	4.43	0.3	8	0.01	30
1995.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	12	0.01	30
1996.1	1	0	0.3	30	0	0.3	30	0	0.3	0	0.3	58.8	0.01	30
1996.2	2	0	0.3	30	0	0.3	30	0	0.3	0	0.3	16.4	0.01	30
1996.3	3	0	0.3	30	0	0.3	30	0	0.3	2.64	0.3	23.5	0.01	30
1996.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	16.7	0.01	30
1997.1	1	0	0.3	30	0	0.3	30	0	0.3	0	0.3	108.9	0.01	30
1997.2	2	0	0.3	30	0	0.3	30	0	0.3	0	0.3	52.6	0.01	30
1997.3	3	0	0.3	30	0	0.3	30	0	0.3	2.79	0.3	4.5	0.01	30
1997.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	8.4	0.01	30
1998.1	1	0	0.3	30	0	0.3	30	0	0.3	0	0.3	121.3	0.01	30
1998.2	2	0	0.3	30	0	0.3	30	0	0.3	0	0.3	104.4	0.01	30
1998.3	3	0	0.3	30	0	0.3	30	0	0.3	3.01	0.3	71.4	0.01	30
1998.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	71.7	0.01	30
1999.1	1	0	0.3	30	0	0.3	30	0	0.3	0	0.3	343.5	0.01	30
1999.2	2	0	0.3	30	0	0.3	30	0	0.3	0	0.3	329.9	0.01	30
1999.3	3	0	0.3	30	0	0.3	30	0	0.3	10.86	0.3	28.5	0.01	30
1999.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	104.1	0.01	30
2000.1	1	404	0.3	30	0	0.3	30	0	0.3	0	0.3	317.6	0.01	30
2000.2	2	0	0.3	30	0	0.3	30	0	0.3	0	0.3	97.5	0.01	30
2000.3	3	0	0.3	30	0	0.3	30	0	0.3	0.98	0.3	8.9	0.01	30
2000.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	15.6	0.01	30
2001.1	1	451	0.3	30	0	0.3	30	0	0.3	0	0.3	86.1	0.01	30
2001.2	2	0	0.3	30	0	0.3	30	0	0.3	0	0.3	43.1	0.01	30
2001.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	3.1	0.01	30
2001.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	22.1	0.01	30
2002.1	1	1503	0.3	30	0	0.3	30	0	0.3	0	0.3	87.1	0.01	30
2002.2	2	0	0.3	30	0	0.3	30	0	0.3	0	0.3	75.1	0.01	30
2002.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	16.1	0.01	30
2002.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	2.1	0.01	30
2003.1	1	244	0.3	30	0	0.3	30	0	0.3	0	0.3	168.1	0.01	30
2003.2	2	0	0.3	30	600	0.3	30	0	0.3	0	0.3	186.1	0.01	30
2003.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	69.1	0.01	30
2003.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	19.1	0.01	30
2004.1	1	1245	0.3	30	0	0.3	30	0	0.3	0	0.3	271.1	0.01	30
2004.2	2	0	0.3	30	0	0.3	30	0	0.3	0	0.3	201.1	0.01	30
2004.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	32.1	0.01	30
2004.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	38.1	0.01	30
2005.1	1	909	0.3	30	0	0.3	30	0	0.3	0	0.3	251.1	0.01	30
2005.2	2	0	0.3	30	1224	0.3	30	0	0.3	0	0.3	223.1	0.01	30
2005.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	59.1	0.01	30
2005.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	57.1	0.01	30
2006.1	1	786	0.3	30	0	0.3	30	0	0.3	0	0.3	103.1	0.01	30
2006.2	2	0	0.3	30	2089	0.3	30	0	0.3	0	0.3	199.1	0.01	30
2006.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	54.1	0.01	30
2006.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	105.1	0.01	30
2007.1	1	897.145	0.3	30	0	0.3	30	0	0.3	0	0.3	219.1	0.01	30
2007.2	2	0	0.3	30	1031	0.3	30	0	0.3	0	0.3	258.1	0.01	30
2007.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	23.1	0.01	30
2007.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	72.1	0.01	30
2008.1	1	976.345	0.3	30	0	0.3	30	0	0.3	0	0.3	48.1	0.01	30
2008.2	2	0	0.3	30	0	0.3	30	0	0.3	0	0.3	233.1	0.01	30
2008.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	6.1	0.01	30
2008.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	45.1	0.01	30
2009.1	1	298.747	0.3	30	0	0.3	30	0	0.3	0	0.3	56.1	0.01	30
2009.2	2	0	0.3	30	1850	0.3	30	0	0.3	0	0.3	227.1	0.01	30
2009.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	108.1	0.01	30
2009.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	172.1	0.01	30
2010.1	1	17.067	0.3	30	0	0.3	30	0	0.3	0	0.3	12.1	0.01	30
2010.2	2	0	0.3	30	323	0.3	30	0	0.3	0	0.3	137.1	0.01	30
2010.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	4.1	0.01	30
2010.4	4	0	0.3	30	0	0.3	30	398	0.3	0	0.3	17.1	0.01	30
2011.1	1	25.796	0.3	30	0	0.3	30	0	0.3	0	0.3	41.1	0.01	30
2011.2	2	0	0.3	30	250	0.3	30	0	0.3	0	0.3	84.1	0.01	30
2011.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	5.1	0.01	30
2011.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	5.1	0.01	30
2012.1	1	99.942	0.3	30	0	0.3	30	0	0.3	0	0.3	6.1	0.01	30
2012.2	2	0	0.3	30	154	0.3	30	0	0.3	0	0.3	34.1	0.01	30
2012.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	3.1	0.01	30
2012.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	18.1	0.01	30
2013.1	1	71.235	0.3	30	0	0.3	30	0	0.3	0	0.3	21.1	0.01	30
2013.2	2	0	0.3	30	84	0.3	30	0	0.3	0	0.3	11.1	0.01	30
2013.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	0.1	0.01	30
2013.4	4	0	0.3	30	0	0.3	30	0	0.3	0	0.3	4.1	0.01	30
2014.1	1	116.472	0.3	30	0	0.3	30	0	0.3	0	0.3	8.1	0.01	30
2014.2	2	0	0.3	30	139	0.3	30	0	0.3	0	0.3	36.1	0.01	30
2014.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	1.1	0.01	30
2014.4	4	0	0.3	30	0	0.3	30	471	0.3	0	0.3	3.1	0.01	30
2015.1	1	120.7	0.3	30	0	0.3	30	0	0.3	0	0.3	2.1	0.01	30
2015.2	2	0	0.3	30	242	0.3	30	0	0.3	0	0.3	38.1	0.01	30
2015.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	0.1	0.01	30
2015.4	4	0	0.3	30	0	0.3	30	354	0.3	0	0.3	18.1	0.01	30
2016.1	1	218.422	0.3	30	0	0.3	30	0	0.3	0	0.3	31.1	0.01	30
2016.2	2	0	0.3	30	502	0.3	30	0	0.3	0	0.3	21.1	0.01	30
2016.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	2.1	0.01	30
2016.4	4	0	0.3	30	0	0.3	30	517	0.3	0	0.3	10.1	0.01	30
2017.1	1	84.188	0.3	30	0	0.3	30	0	0.3	0	0.3	13.1	0.01	30
2017.2	2	0	0.3	30	491	0.3	30	0	0.3	0	0.3	14.1	0.01	30
2017.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	2.1	0.01	30
2017.4	4	0	0.3	30	0	0.3	30	443	0.3	0	0.3	24.1	0.01	30
2018.1	1	347.16	0.1	30	0	0.3	30	0	0.3	0	0.3	14.1	0.01	30
2018.2	2	0	0.3	30	745	0.3	30	0	0.3	0	0.3	20.1	0.01	30
2018.3	3	0	0.3	30	0	0.3	30	0	0.3	0	0.3	0.1	0.01	30
2018.4	4	0	0.3	30	0	0.3	30	108	0.3	0	0.3	21.1	0.01	30
																																							
																																							
																																							
#grupos_de_Tallas																																							
