#numero_de momentos
25																																
#numero_de_momentos al año (4=trimestres, 2:semestres)																														
4																																
#numero_de_tallas																																
33																																
#Año	Id	RECLAS	cvR	nmR	PELACES	cvP	nmP	MPH	cvMPH	CPUE	cv_cpue	Desemb	cvD	nmF
1994.1	1	0	0.2	15	0	0.2	15	0	0.3	0	0.3	237	0.05	30
1994.2	2	0	0.2	15	0	0.2	15	0	0.3	0	0.3	41	0.05	30
1994.3	3	0	0.2	15	0	0.2	15	0	0.3	0	0.3	70	0.05	30
1994.4	4	0	0.2	15	0	0.2	15	0	0.3	0	0.3	48	0.05	30
1995.1	5	0	0.2	15	0	0.2	15	0	0.3	0	0.3	47	0.05	30
1995.2	6	0	0.2	15	0	0.2	15	0	0.3	0	0.3	9	0.05	30
1995.3	7	0	0.2	15	0	0.2	15	0	0.3	0	0.3	5	0.05	30
1995.4	8	0	0.2	15	0	0.2	15	0	0.3	0	0.3	65	0.05	30
1996.1	9	0	0.2	15	0	0.2	15	0	0.3	0	0.3	244	0.05	30
1996.2	10	0	0.2	15	0	0.2	15	0	0.3	0	0.3	48	0.05	30
1996.3	11	0	0.2	15	0	0.2	15	0	0.3	0	0.3	60	0.05	30
1996.4	12	0	0.2	15	0	0.2	15	0	0.3	0	0.3	95	0.05	30
1997.1	13	0	0.2	15	0	0.2	15	0	0.3	0	0.3	286	0.05	30
1997.2	14	0	0.2	15	0	0.2	15	0	0.3	0	0.3	112	0.05	30
1997.3	15	0	0.2	15	0	0.2	15	0	0.3	0	0.3	25	0.05	30
1997.4	16	0	0.2	15	0	0.2	15	0	0.3	0	0.3	18	0.05	30
1998.1	17	0	0.2	15	0	0.2	15	0	0.3	0	0.3	103	0.05	30
1998.2	18	0	0.2	15	0	0.2	15	0	0.3	0	0.3	90	0.05	30
1998.3	19	0	0.2	15	0	0.2	15	0	0.3	0	0.3	61	0.05	30
1998.4	20	0	0.2	15	0	0.2	15	0	0.3	0	0.3	63	0.05	30
1999.1	21	0	0.2	15	0	0.2	15	0	0.3	0	0.3	455	0.05	30
1999.2	22	0	0.2	15	0	0.2	15	0	0.3	0	0.3	250	0.05	30
1999.3	23	0	0.2	15	0	0.2	15	0	0.3	0	0.3	27	0.05	30
